change_status,action_status,product_slug,source_id,source_title,priority,route_status,local_pdf_status,local_pdf_path,sha256,packet_status,deterministic_candidate_count,extraction_task_open,source_page_path
unchanged,candidate_rows_ready_for_review,infant-formula-powder-non-soy,almeida2022-brazil-infant-formula-toxic-metals,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,"raw/studies/Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk.pdf",75b40a844352955ff5acfbf8a18b778eb4a2fe613bdb40210022d25739c59471,packet_ready,60,false,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md
unchanged,candidate_rows_ready_for_review,infant-formula-powder-non-soy,chung2021-china-infant-formula-toxic-elements,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market,P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market.pdf,e383a84226c9f495e48093ddbbb661ae3fee7f7089dc87714558cb8559ad4e16,packet_ready,4,false,wiki/sources/chung2021-china-infant-formula-toxic-elements.md
unchanged,needs_source_specific_parser_or_ai_review,infant-formula-powder-non-soy,dabeka1987-canada-infant-formula-lead-cadmium,"Lead, cadmium, and fluoride levels in market milk and infant formulas in Canada",P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/dabeka1987.pdf,4f54c665b9787be14b3ff06b31edad48ee0e7abece5dd6f4e16937f1f00e4ed7,packet_ready,0,true,wiki/sources/dabeka1987-canada-infant-formula-lead-cadmium.md
unchanged,candidate_rows_ready_for_review,infant-formula-powder-non-soy,fsa2016-infant-food-formula-metals-survey,"Survey of metals in commercial infant foods, infant formula and non-infant specific foods",P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/FS102048 Infants metal survey FSIS pdf version.pdf,7855edeb89e7ddd2db854ddd71e6de833299e7c3abaa1ac51e63cab0ffb84e09,packet_ready,54,false,wiki/sources/fsa2016-infant-food-formula-metals-survey.md
unchanged,needs_source_specific_parser_or_ai_review,infant-formula-powder-non-soy,gardener2019-lead-cadmium-infant-formula-baby-food,Lead and cadmium contamination in a large sample of United States infant formulas and baby foods,P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/gardener2019.pdf,c71d7379145be56c2a783bb004f9354b24a0284acd23125358bc43a6a7aebe92,packet_ready,0,true,wiki/sources/gardener2019-lead-cadmium-infant-formula-baby-food.md
unchanged,needs_source_specific_parser_or_ai_review,infant-formula-powder-non-soy,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,1ffb3e4aa1afc3d7dccb06c16412d07609ad8b3b759ee8352263d6711a16fea6,packet_ready,0,true,wiki/sources/meli2024-chemical-characterization-baby-food-italy.md
unchanged,needs_source_specific_parser_or_ai_review,infant-formula-powder-non-soy,pandelova2012-eu-baby-food-formula-elements,"Ca, Cd, Cu, Fe, Hg, Mn, Ni, Pb, Se, and Zn contents in baby foods from the EU market: Comparison of assessed infant intakes with the present safety limits for minerals and trace elements",P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/pandelova2012.pdf,839f6477b83daafa4b003f6de716b5b50c58e6e2fb871cf7ec90ee7a38e52041,packet_ready,0,true,wiki/sources/pandelova2012-eu-baby-food-formula-elements.md
unchanged,needs_source_specific_parser_or_ai_review,infant-formula-powder-non-soy,spungen2024-fda-tds-infant-lead-cadmium,Infants' and young children's dietary exposures to lead and cadmium: FDA total diet study 2018-2020,P0-extract-direct-product-values,source_on_page_no_structured_value,local_pdf_found,raw/studies/Infants  and young children s dietary exposures to lead and cadmium  FDA total diet study 2018 2020.pdf,7bc844cb75694439ed4ce8085151201c97470a18db9c8ad0dfb4c901072886ba,packet_ready,0,true,wiki/sources/spungen2024-fda-tds-infant-lead-cadmium.md
unchanged,needs_pdf_match_review,infant-formula-powder-non-soy,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,P2-confirm-local-pdf-match,missing_broad_product_context,candidate_local_pdf_needs_review,raw/reports/fsa-fs102048-metals-infant-foods-formula-2014.pdf,f6f0df342c46608839536a12ba549171a6954a23128d98ca9ee62cb53b18cbdc,not_packetized,0,false,wiki/sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin.md
unchanged,needs_pdf_match_review,infant-formula-powder-non-soy,amarh2023-ghana-infant-food-heavy-metals,"Health risk assessment of some selected heavy metals in infant food sold in Wa, Ghana",P2-confirm-local-pdf-match,missing_broad_product_context,candidate_local_pdf_needs_review,raw/studies/FM_12770628_Human_health_risk_assessment_of_metals_and_metalloid_in_food.pdf,04d2b099e948193b54f304ae17a1c77a413179835f929ed1d50441f6f32d064f,not_packetized,0,false,wiki/sources/amarh2023-ghana-infant-food-heavy-metals.md
